iter	Passed	Remaining
163	29248	131259
164	29432	131107
165	29613	130941
166	29807	130831
167	29983	130643
168	30163	130471
169	30337	130271
170	30522	130122
171	30697	129930
172	30886	129793
173	31078	129673
174	31264	129524
175	31435	129313
176	31611	129125
177	31797	128976
178	31970	128774
179	32158	128634
180	32335	128448
181	32521	128297
182	32702	128130
183	32874	127924
184	33072	127819
185	33262	127686
186	33441	127508
187	33614	127304
188	33796	127137
189	33975	126962
190	34164	126820
191	34348	126660
192	34516	126440
193	34694	126257
194	34882	126113
195	34942	125506
196	35033	125019
197	35213	124847
198	35401	124704
199	35591	124569
200	35766	124380
201	35949	124221
202	36133	124064
203	36314	123895
204	36485	123696
205	36666	123527
206	36845	123351
207	37015	123147
208	37202	122998
209	37393	122863
210	37565	122666
211	37737	122469
212	37902	122249
213	38080	122070
214	38257	121889
215	38430	121697
216	38605	121509
217	38769	121288
218	38947	121110
219	39128	120941
220	39309	120773
221	39487	120596
222	39678	120459
223	39862	120300
224	40040	120121
225	40222	119956
226	40386	119737
227	40582	119611
228	40754	119416
229	40924	119214
230	41089	118999
231	41262	118808
232	41436	118618
233	41604	118413
234	41779	118227
235	41920	117945
236	42105	117788
237	42264	117560
238	42460	117431
239	42634	117243
240	42811	117066
241	42989	116889
242	43168	116714
243	43366	116590
244	43540	116405
245	43718	116228
246	43888	116028
247	44065	115850
248	44246	115681
249	44439	115543
250	44619	115371
251	44801	115202
252	44961	114981
253	45147	114823
254	45315	114621
255	45500	114463
256	45674	114274
257	45855	114104
258	46027	113912
259	46197	113715
260	46369	113526
261	46556	113371
262	46733	113190
263	46901	112989
264	47085	112827
265	47248	112614
266	47428	112441
267	47614	112285
268	47789	112101
269	47967	111923
270	48143	111741
271	48329	111583
272	48503	111397
273	48670	111196
274	48849	111022
275	49037	110867
276	49217	110695
277	49396	110520
278	49584	110365
279	49789	110247
280	49993	110128
281	50193	109999
282	50377	109833
283	50549	109643
284	50731	109473
285	50915	109308
286	51105	109154
287	51298	109009
288	51502	108885
289	51702	108754
290	51889	108593
291	52090	108461
292	52284	108315
293	52452	108115
294	52638	107953
295	52821	107784
296	53000	107608
297	53182	107434
298	53364	107263
299	53546	107092
300	53734	106933
301	53911	106752
302	54093	106580
303	54271	106399
304	54452	106226
305	54634	106054
306	54834	105918
307	55020	105754
308	55187	105553
309	55362	105367
310	55543	105193
311	55707	104987
312	55887	104810
313	56068	104637
314	56254	104472
315	56434	104296
316	56610	104113
317	56792	103941
318	56981	103781
319	57165	103612
320	57360	103462
321	57557	103316
322	57745	103156
323	57923	102975
324	58097	102787
325	58274	102606
326	58464	102447
327	58640	102263
328	58824	102093
329	59012	101930
330	59195	101759
331	59380	101590
332	59559	101412
333	59756	101264
334	59934	101082
335	60140	100950
336	60323	100778
337	60499	100593
338	60662	100388
339	60844	100213
340	61030	100047
341	61205	99861
342	61380	99676
343	61566	99508
344	61740	99321
345	61913	99133
346	62108	98979
347	62291	98806
348	62457	98606
349	62629	98417
350	62808	98239
351	62976	98042
352	63151	97857
353	63335	97687
354	63513	97507
355	63686	97318
356	63856	97125
357	64028	96937
358	64215	96770
359	64408	96612
360	64584	96428
361	64760	96245
362	64939	96068
363	65118	95888
364	65301	95715
365	65497	95562
366	65677	95384
367	65853	95201
368	66029	95018
369	66213	94846
370	66402	94681
371	66594	94520
372	66785	94359
373	66953	94164
374	67132	93985
375	67312	93807
376	67492	93630
377	67659	93434
378	67835	93252
379	68031	93095
380	68206	92911
381	68388	92736
382	68570	92561
383	68739	92368
384	68923	92196
385	69085	91995
386	69277	91833
387	69455	91653
388	69620	91454
389	69792	91267
390	69963	91078
391	70147	90905
392	70324	90723
393	70500	90540
394	70682	90366
395	70865	90192
396	71052	90023
397	71244	89860
398	71431	89692
